sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
793;DHT22;3981;-1.269;36.819;2026-07-01T00:47:16.930980+00:00;temperature;17.30
4976;pms5003;76;-1.261;36.782;2026-07-01T00:48:01+00:00;P2;16
4976;pms5003;76;-1.261;36.782;2026-07-01T00:48:01+00:00;P1;19
4976;pms5003;76;-1.261;36.782;2026-07-01T00:48:01+00:00;P0;10
4977;DHT22;76;-1.261;36.782;2026-07-01T00:48:03+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T00:48:03+00:00;temperature;16.1
4962;pms5003;76;-1.261;36.782;2026-07-01T00:48:34+00:00;P2;15
4962;pms5003;76;-1.261;36.782;2026-07-01T00:48:34+00:00;P1;16
4962;pms5003;76;-1.261;36.782;2026-07-01T00:48:34+00:00;P0;9
4963;DHT22;76;-1.261;36.782;2026-07-01T00:48:36+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T00:48:36+00:00;temperature;16.1
792;pms5003;3981;-1.269;36.819;2026-07-01T00:52:35.183196+00:00;P2;18.25
792;pms5003;3981;-1.269;36.819;2026-07-01T00:52:35.183196+00:00;P1;19.00
792;pms5003;3981;-1.269;36.819;2026-07-01T00:52:35.183196+00:00;P0;13.00
4976;pms5003;76;-1.261;36.782;2026-07-01T00:54:19+00:00;P2;14
4976;pms5003;76;-1.261;36.782;2026-07-01T00:54:19+00:00;P1;15
4976;pms5003;76;-1.261;36.782;2026-07-01T00:54:19+00:00;P0;10
4977;DHT22;76;-1.261;36.782;2026-07-01T00:54:21+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T00:54:21+00:00;temperature;16.2
4962;pms5003;76;-1.261;36.782;2026-07-01T00:54:52+00:00;P2;17
4962;pms5003;76;-1.261;36.782;2026-07-01T00:54:52+00:00;P1;21
4962;pms5003;76;-1.261;36.782;2026-07-01T00:54:52+00:00;P0;10
4963;DHT22;76;-1.261;36.782;2026-07-01T00:54:54+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T00:54:54+00:00;temperature;16.2
792;pms5003;3981;-1.269;36.819;2026-07-01T00:58:10.967594+00:00;P2;15.40
